collection,faithfulness,answer_relevancy,context_precision,context_recall
FAQ,0.7547894079457925,0.3712133594378127,0.7901043452110882,0.9186827956989247
강의평가,0.6433298270189002,0.3742067054137532,0.7098910086331565,0.8539603960396039
교육과정,0.6539337474120083,0.3727572065846871,0.7520202019814163,0.8695652173913043
기타,0.8611904761904763,0.5111653473145007,0.7840873015296614,0.9583333333333334
시설_연락처,0.7672258579270774,0.3814631585801203,0.6785427689005507,0.8309859154929577
장학금,0.6335964381179692,0.3730201637337372,0.799998228408577,0.8928571428571429
학과정보,0.7498494259363824,0.41300163727798833,0.8475983795824217,0.9583333333333334
학사일정,0.8365399472577937,0.5103165646213303,0.7280838040780627,0.8361581920903955
학사정보,0.7398397606292343,0.44785490069209577,0.7851275393763483,0.875
학칙_조항,0.7180738725702754,0.44725424843858114,0.8913425881775469,0.9444444444444444
