ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
regulations_14,제75조(활동및 간행물),"【1항】 학생은 다음의 사항에 대하여 주무부서에 사전 신고하고 총장의 승인을 받아야 한다. 1. 교내외 10명 이상의 집회, 2. 교내광고, 인쇄물의 부착 또는 배부, 3. 각 기관 또는 개인에 대한 학생활동 후원요청 및 시상의뢰, 4. 외부인사의 학내초청

【2항】 학생단체 또는 학생의 모든 정기, 부정기 간행물을 지도교수의 추천과 총장의 승인을 받아 발행하며 간행물의 편집을 위하여 약간 명의 지도교수를 둘 수 있다.",학칙,,,,,,
regulations_15,제55조(등록금의감면),"등록금은 특별한 규정이 있는 경우를 제외하고는 결석, 정학, 제적 또는 그 밖의 이유로 감면되지 않는다.",학칙,,,,,,
regulations_16,제30조(학점인정),"【1항】 학생은 다음 각 호의 학점을 인정받을 수 있다. 1. 편입학생이 전적 학교에서 취득한 학점, 2. 국내외 학점교류를 통해 취득한 학점(원격강좌 포함), 3. 국내외의 기관(기업 포함)에서 수행하는 현장실습, 4. 그 밖의 본교의 학점으로 인정하기에 합당한 사항

【2항】 학교 및 연구기관 또는 산업체 등에서 행한 교육 또는 연수 등은 협약에 의한 범위 안에서 관련 교과의 이수로 인정할 수 있다.

【3항】 고등학교 재학 중 한국대학교육협의회가 주관한 고교-대학 연계 심화과정(UP)으로 이수한 교과목에 대하여 5년 이내 본 대학교에 입학한 경우 입학연도에만 학점으로 인정할 수 있으며, 학점 및 성적은 본 대학교의 교과목에 준하여 인정하며 성적처리는 P(pass), NP(Nonpass)로 한다. 최대 6학점까지 인정한다.

【4항】 국방부 군복무경험 학점인정 및 병무청 사회복무경험 학점인정제도 참여에 따라 군복무 및 사회복무 중 행한 봉사시간을 관련 교과의 이수시간으로 인정할 수 있다.

【5항】 「병역법」에 따른 징집·소집 또는 지원에 의하여 입영 또는 복무 중 휴학 중인 자가 복무 기간 중 본교에서 인정하는 기관에서 군이러닝 강좌로 취득한 학점은 복무 기간 내 최대 6학점까지 취득할 수 있다.",학칙,,,,,,
regulations_17,제25조(교과목),"각 대학의 교과목은 교양과목과 전공과목으로 구분하고 이를 다시 필수과목과 선택과목 및 Pass과목으로 구분한다. 다만, Pass과목은 사회봉사과목 등과 같이 본교의 교육이념을 구현하기 위하여 교육과정심의위원회의 심의 후 총장이 별도로 정한 과목에 한한다.",학칙,,,,,,
regulations_18,제48조(추가시험),"질병, 학기 중 취업, 기타 부득이한 사유로 인하여 정기시험에 응시하지 못하는 자는 사유서를 제출한 후 과목 담당교수와 소속 대학장의 허가를 받아 추가시험에 응할 수 있다.",학칙,,,,,,
regulations_19,제2조(소재및 교육조직),"【1항】 본교는 대전광역시에 소재하는 대전캠퍼스와 경기도 성남시에 소재하는 성남캠퍼스, 경기도 의정부에 소재하는 의정부캠퍼스를 둔다.

【2항】 대전캠퍼스에는 의과대학을 두고, 성남캠퍼스에는 간호대학, 보건과학대학, 미래융합대학, 첨단학부, 자연계열학부, 인문사회계열학부, 교양학부를 두며, 의정부캠퍼스에는 간호대학, 보건과학대학, 미래융합대학, 자유전공학부, 대학원, 보건복지대학원, 임상간호대학원을 둔다.",학칙,,,,,,
regulations_20,제82조(학칙개정),"【1항】 학칙개정이 필요한 사유가 발생한 경우에는 업무관련 부서의 장은 교무혁신처장에게 학칙개정안을 제안하여야 한다.

【2항】 교무혁신처장은 특별한 경우를 제외하고는 교무위원회에서 검토한 후 학칙 개정안을 10일 이상 사전 공고하여야 한다. 다만, 긴급히 추진하여야 할 사유가 있을 때에는 그 기간을 단축할 수 있다.

【3항】 학칙개정안의 공고는 학내 게시판 또는 대학 홈페이지 등을 이용하여 사전 공고한다.

【4항】 학칙개정절차는 개정안을 사전 공고하여 조정된 내용을 규정심의위원회와 대학평의원회의 심의를 거쳐 교무위원회의 결의로 개정되며, 이를 교육부장관에게 보고 후 공포한다.",학칙,,,,,,
regulations_21,제50조(포상),학업성적이 우수하거나 선행이 타에 모범이 된 학생 또는 학교의 명예를 드높인 학생에 대하여는 포상할 수 있다.,학칙,,,,,,
regulations_22,제20조의1(사전신고),"【1항】 강의를 수강하고자 하는 학생이 해당 강의를 담당하는 교수의 자녀인 경우에는 반드시 해당 교수가 교무혁신처에 신고하여 사전에 승인을 받아야 한다.

【2항】 제1항에 의거 강의 담당 교수의 자녀 수강에 대한 미신고 또는 미준수 등 본 규정을 위반하는 사항이 발생할 경우 교원인사규정 제39조에 의거하여 징계의결을 요구하여 조치하며, 비전임교원의 경우 임용 또는 위촉을 해지한다.",학칙,,,,,,
regulations_23,제78조(부속기관),"【1항】 본교에 학술정보원, 비교과통합교육원, 학보사, 생활관, 예비군대대, 보건실, 부속병원 등의 부속기관을 둔다.

【2항】 학술정보원 산하에는 학술정보팀, 전산정보팀, 범석의학박물관을 둔다.

【3항】 전항의 각 부속기관의 운영에 필요한 규정은 별도로 정한다.",학칙,,,,,,
