ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
학칙_대학_146,3항,"다음의 사유로 학적이 변동된 자는 해당 학기의 등록금액을 적용받는다. 1. 수업일수 4분의 2선까지 휴학하고 복학한 자, 2. 재입학한 자, 3. 유급한 자",학칙_대학 > 학칙 > 제14장 등록금 및 장학금 > 제54조(등록금),,,,,,
학칙_대학_147,제55조(등록금의 감면),"등록금은 특별한 규정이 있는 경우를 제외하고는 결석, 정학, 제적 또는 그 밖의 이유로 감면되지 않는다.",학칙_대학 > 학칙 > 제14장 등록금 및 장학금,,,,,,
학칙_대학_148,제56조(등록금의 반환),"한번 납입한 금액은 과오납입을 제외하고는 이를 반환하지 않는다. 다만, 관계 법령이 정하는 바는 예외로 한다.",학칙_대학 > 학칙 > 제14장 등록금 및 장학금,,,,,,
학칙_대학_149,제57조(등록금의 면제),"총장은 품행이 방정하고 학업성적이 특히 우수하거나, 가계곤란자에 대하여는 등록금의 전부 또는 일부를 면제할 수 있다.",학칙_대학 > 학칙 > 제14장 등록금 및 장학금,,,,,,
학칙_대학_150,1항,본교 학생 중 품행이 방정하고 학업성적이 우수한 자와 가계곤란으로 학업을 계속할 수 없는 자에게는 장학금을 지급할 수 있다.,학칙_대학 > 학칙 > 제14장 등록금 및 장학금 > 제58조(장학금),,,,,,
학칙_대학_151,2항,장학금 수혜 대상 학생은 학과장의 추천과 대학장의 제청으로 장학위원회의 심의를 거쳐 총장이 정한다.,학칙_대학 > 학칙 > 제14장 등록금 및 장학금 > 제58조(장학금),,,,,,
학칙_대학_152,3항,"장학금 수혜 대상자로 결정된 학생이 휴학, 자퇴, 제적 또는 징계된 때에는 지급하지 않는다.",학칙_대학 > 학칙 > 제14장 등록금 및 장학금 > 제58조(장학금),,,,,,
학칙_대학_153,4항,장학금 지급에 관한 세부사항은 따로 정한다.,학칙_대학 > 학칙 > 제14장 등록금 및 장학금 > 제58조(장학금),,,,,,
학칙_대학_154,제59조(위탁생),정부 각 기관 재직자로서 그 소속 기관장의 위탁이 있을 때에는 교육 인적자원부장관의 추천을 받아 이를 위탁생으로 하여 정원 외로 입학을 결정할 수 있다.,학칙_대학 > 학칙 > 제15장 위탁생 및 외국인학생,,,,,,
학칙_대학_155,제60조(위탁생의 제적),위탁생이 재학 중 그 소속기관의 직을 사임하였을 경우에는 이를 즉시 교무혁신처에 신고하고 자퇴하여야 한다. 만약 소속기관을 사임하였음에도 그 사실을 신고하지 않을 경우에는 제적하고 졸업한 경우에는 졸업이 취소된다.,학칙_대학 > 학칙 > 제15장 위탁생 및 외국인학생,,,,,,
학칙_대학_156,1항,외국인으로서 제6장 입학의 규정에 의하지 않고 입학을 희망하는 경우에는 수업에 지장이 없는 한 별도의 전형을 거쳐 정원 외로 입학을 허가할 수 있다.,학칙_대학 > 학칙 > 제15장 위탁생 및 외국인학생 > 제61조(외국인학생의 입학 및 편입학),,,,,,
